x1,x2,y1,y2,mask
69,126,294,392,TRUE
505,10,723,283,TRUE
360,85,728,653,FALSE
239,9,522,342,TRUE
262,18,484,319,FALSE
49,58,191,247,FALSE
49,26,389,476,FALSE
80,0,629,599,TRUE
179,8,664,599,TRUE
365,67,464,199,TRUE
72,150,103,191,FALSE
764,138,794,169,FALSE
154,15,493,485,TRUE
538,51,692,257,TRUE
119,26,389,379,TRUE
442,84,805,489,TRUE
524,287,652,384,TRUE
58,6,186,132,TRUE
251,36,286,76,TRUE
717,118,762,180,TRUE
352,101,409,173,FALSE
674,134,714,174,TRUE
88,12,160,114,TRUE
62,64,107,163,TRUE
670,100,704,138,FALSE
131,8,382,297,TRUE
45,27,425,476,TRUE
4,334,162,653,FALSE
153,196,407,588,TRUE
348,3,518,223,TRUE
6,86,336,481,TRUE
460,67,671,369,FALSE
118,150,418,432,FALSE
194,10,555,514,TRUE
113,32,302,263,TRUE
768,287,845,396,TRUE
806,306,954,462,TRUE
634,221,695,301,TRUE
348,33,437,134,TRUE
497,235,581,356,TRUE
599,201,647,269,TRUE
250,8,466,285,TRUE
259,88,407,242,FALSE
391,56,613,367,TRUE
61,89,138,174,TRUE
337,117,688,529,TRUE
120,137,194,215,TRUE
319,232,372,295,FALSE
217,155,290,230,FALSE
478,216,507,267,FALSE
552,169,809,468,TRUE
260,23,383,177,TRUE
860,173,915,252,TRUE
486,129,561,204,TRUE
715,170,770,232,TRUE
905,135,967,201,TRUE
39,133,103,212,TRUE
244,136,278,184,TRUE
416,141,480,221,TRUE
1,151,29,196,TRUE
159,89,490,586,TRUE
1657,3208,2015,3625,TRUE
159,71,454,520,TRUE
124,41,257,189,FALSE
450,9,555,154,FALSE
666,68,810,224,FALSE
63,6,397,398,TRUE
0,40,252,343,TRUE
298,120,524,499,TRUE
287,119,520,499,TRUE
0,41,251,343,TRUE
97,92,828,1045,FALSE
612,0,1112,779,TRUE
207,123,296,242,TRUE
166,378,328,597,FALSE
422,455,609,730,FALSE
300,9,412,160,FALSE
133,67,486,407,TRUE
869,122,1016,292,TRUE
261,47,382,225,TRUE
343,175,736,674,FALSE
0,38,211,345,TRUE
322,51,523,325,TRUE
192,178,376,446,TRUE
222,53,406,270,FALSE
188,6,295,161,FALSE
230,58,399,254,TRUE
495,99,712,364,TRUE
290,92,481,322,TRUE
74,203,272,394,TRUE
266,388,361,516,FALSE
416,368,469,428,FALSE
510,297,567,382,FALSE
588,300,633,366,FALSE
658,326,709,389,FALSE
727,274,779,341,FALSE
231,3,673,389,TRUE
97,4,371,268,TRUE
185,166,513,596,TRUE
9,184,146,380,TRUE
318,108,445,294,TRUE
221,138,320,287,TRUE
64,126,449,464,TRUE
47,3,356,365,TRUE
157,98,202,152,TRUE
405,63,450,125,FALSE
108,67,122,86,FALSE
218,63,238,85,FALSE
15,112,33,135,FALSE
349,80,387,126,TRUE
304,88,331,129,TRUE
175,92,227,158,FALSE
390,99,435,152,FALSE
477,95,518,148,FALSE
139,39,346,277,TRUE
494,32,561,120,TRUE
377,49,453,132,TRUE
773,48,824,124,FALSE
23,26,98,120,TRUE
621,106,692,185,TRUE
588,89,645,156,TRUE
435,83,583,276,FALSE
388,77,489,210,TRUE
683,104,784,242,TRUE
732,103,929,344,FALSE
786,154,1092,586,FALSE
81,7,322,319,TRUE
3,0,535,331,TRUE
350,24,486,194,FALSE
638,6,892,289,TRUE
218,41,367,235,TRUE
871,195,1444,949,FALSE
2400,226,2915,899,FALSE
464,124,611,304,TRUE
263,164,338,328,TRUE
300,113,603,493,TRUE
354,110,532,366,FALSE
613,15,749,194,FALSE
171,68,293,225,FALSE
66,108,141,199,FALSE
26,96,71,177,FALSE
295,88,356,180,FALSE
358,123,395,183,FALSE
577,58,660,136,FALSE
548,118,662,252,FALSE
239,28,624,551,TRUE
233,21,429,264,TRUE
136,259,276,408,TRUE
168,28,673,714,FALSE
66,27,147,128,FALSE
588,24,661,121,FALSE
245,89,443,323,TRUE
172,13,366,249,TRUE
396,202,774,739,FALSE
110,251,244,380,FALSE
299,115,563,425,FALSE
133,31,341,305,FALSE
278,42,522,405,TRUE
4,146,258,481,TRUE
388,137,681,515,TRUE
238,161,420,417,TRUE
2,58,245,412,TRUE
453,254,525,387,TRUE
285,261,376,376,TRUE
367,218,443,305,TRUE
284,192,327,241,TRUE
439,177,478,221,TRUE
329,206,380,277,TRUE
1330,627,1610,955,TRUE
886,649,1111,928,TRUE
442,484,716,864,TRUE
1601,314,1791,542,TRUE
727,268,997,591,TRUE
0,200,241,516,TRUE
1076,196,1246,432,TRUE
1918,321,2109,594,TRUE
1351,376,1542,605,TRUE
540,202,747,470,TRUE
296,346,542,641,TRUE
3,2,872,700,TRUE
34,2,907,686,TRUE
296,433,369,502,FALSE
69,28,381,442,TRUE
287,183,372,301,FALSE
37,100,230,318,TRUE
365,12,526,203,TRUE
122,36,225,149,FALSE
25,19,331,423,TRUE
83,70,459,531,TRUE
252,76,516,449,FALSE
30,204,169,367,TRUE
436,70,555,183,TRUE
851,279,957,392,FALSE
479,92,561,203,FALSE
197,54,282,175,FALSE
454,194,594,356,FALSE
79,317,223,476,TRUE
717,377,856,532,FALSE
0,371,46,533,TRUE
197,24,533,500,TRUE
429,23,511,119,TRUE
292,195,386,263,TRUE
296,9,380,117,TRUE
177,0,572,388,TRUE
86,22,361,399,TRUE
161,21,553,554,TRUE
163,5,577,563,TRUE
163,125,226,209,TRUE
295,4,459,180,TRUE
172,15,392,329,TRUE
940,196,1100,357,FALSE
41,2,123,92,TRUE
161,8,203,71,TRUE
203,7,249,90,TRUE
279,76,305,112,TRUE
316,70,341,105,TRUE
348,93,369,113,TRUE
276,62,298,80,TRUE
104,23,457,516,TRUE
109,176,283,417,FALSE
362,159,525,369,FALSE
503,34,707,330,FALSE
554,95,599,155,TRUE
2,86,80,257,TRUE
550,96,601,153,TRUE
782,135,850,217,TRUE
58,5,349,323,TRUE
218,3,586,322,TRUE
626,303,681,354,FALSE
200,169,299,269,TRUE
339,93,421,189,FALSE
272,35,429,274,FALSE
648,61,818,304,FALSE
25,0,400,439,TRUE
215,10,533,472,TRUE
265,150,389,317,TRUE
0,161,40,273,TRUE
73,171,132,272,TRUE
618,419,1113,1139,FALSE
174,39,284,162,FALSE
320,12,442,178,FALSE
76,11,262,265,TRUE
270,210,311,265,TRUE
418,176,459,229,TRUE
12,211,54,263,TRUE
307,193,337,233,TRUE
148,20,195,100,FALSE
688,1667,2113,3113,TRUE
